date,site,rgb,multispec,sunsens,project_path,image_load_status
20250430,treenet_sempach,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_sempach\20250430,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_sempach\20250430,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Sempach_treenet\20250430\metashape_project_Sempach_treenet_20250430.psx,skipped (exists)
20250430,lwf_schänis,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_schänis\20250430,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_schänis\20250430,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Schänis_LWF\20250430\metashape_project_Schänis_LWF_20250430.psx,skipped (exists)
20250502,lwf_isone,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_isone\20250502,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_isone\20250502,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Isone_LWF\20250502\metashape_project_Isone_LWF_20250502.psx,skipped (exists)
20250502,sagno,M:\working_package_2\2024_dronecampaign\01_data\P1\sagno\20250502,M:\working_package_2\2024_dronecampaign\01_data\Micasense\sagno\20250502,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Sagno_treenet\20250502\metashape_project_Sagno_treenet_20250502.psx,skipped (exists)
20250514,lwf_neunkirch,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_neunkirch\20250514,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_neunkirch\20250514,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Neunkirch_LWF\20250514\metashape_project_Neunkirch_LWF_20250514.psx,skipped (exists)
20250514,Wangen Brüttisellen,M:\working_package_2\2024_dronecampaign\01_data\P1\wangen_zh\20250514,M:\working_package_2\2024_dronecampaign\01_data\Micasense\wangen_zh\20250514,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\WangenBrüttisellen_treenet\20250514\metashape_project_WangenBrüttisellen_treenet_20250514.psx,skipped (exists)
20250514,lwf_schänis,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_schänis\20250514,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_schänis\20250514,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Schänis_LWF\20250514\metashape_project_Schänis_LWF_20250514.psx,skipped (exists)
20250515,Sanasilva-50845,M:\working_package_2\2024_dronecampaign\01_data\P1\sanasilva_50845\20250515,M:\working_package_2\2024_dronecampaign\01_data\Micasense\sanasilva_50845\20250515,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Brüttelen_sanasilva50845\20250515\metashape_project_Brüttelen_sanasilva50845_20250515.psx,skipped (exists)
20250515,Sanasilva-50877,M:\working_package_2\2024_dronecampaign\01_data\P1\sanasilva_50877\20250515,M:\working_package_2\2024_dronecampaign\01_data\Micasense\sanasilva_50877\20250515,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Schüpfen_sanasilva50877\20250515\metashape_project_Schüpfen_sanasilva50877_20250515.psx,skipped (exists)
20250526,lwf_visp,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_visp\20250526,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_visp\20250526,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Visp_LWF\20250526\metashape_project_Visp_LWF_20250526.psx,skipped (exists)
20250526,treenet_salgesch,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_salgesch\20250526,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_salgesch\20250526,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Salgesch_treenet\20250526\metashape_project_Salgesch_treenet_20250526.psx,skipped (exists)
20250526,lwf_lens,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_lens\20250526,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_lens\20250526,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Lens_LWF\20250526\metashape_project_Lens_LWF_20250526.psx,skipped (exists)
20250527,LWF-Davos,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_davos\20250527,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_davos\20250527,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Davos_LWF\20250527\metashape_project_Davos_LWF_20250527.psx,skipped (exists)
20250528,Illgraben,M:\working_package_2\2024_dronecampaign\01_data\P1\Illgraben\20250528,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Illgraben\20250528,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Illgraben\20250528\metashape_project_Illgraben_20250528.psx,skipped (exists)
