Label, Easting, Northing, Ellip Height
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0169_6.tif, 2613287.017107, 1127805.454677,   680.6469
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0170_6.tif, 2613288.171502, 1127808.876376,   680.6511
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0171_6.tif, 2613289.211772, 1127811.969184,   680.6719
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0172_6.tif, 2613290.994134, 1127817.206183,   680.7212
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0173_6.tif, 2613292.673886, 1127822.109730,   680.7746
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0174_6.tif, 2613293.896143, 1127825.602356,   680.8276
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0175_6.tif, 2613296.223031, 1127832.280544,   680.9209
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0176_6.tif, 2613297.513676, 1127836.010065,   680.9661
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0177_6.tif, 2613298.842733, 1127839.866234,   681.0156
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0178_6.tif, 2613301.397727, 1127847.318744,   681.1141
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0179_6.tif, 2613302.416770, 1127850.312342,   681.1539
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0180_6.tif, 2613304.002586, 1127854.993338,   681.2163
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0181_6.tif, 2613306.285313, 1127861.715485,   681.3098
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0182_6.tif, 2613307.348440, 1127864.801189,   681.3572
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0183_6.tif, 2613309.124533, 1127869.963336,   681.4350
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0184_6.tif, 2613310.849450, 1127874.984921,   681.5090
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0185_6.tif, 2613312.083737, 1127878.585779,   681.5623
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0186_6.tif, 2613314.343980, 1127885.177184,   681.6522
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0187_6.tif, 2613315.719496, 1127889.186163,   681.6997
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0188_6.tif, 2613317.025570, 1127892.956284,   681.7531
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0189_6.tif, 2613320.957103, 1127904.320752,   681.9128
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0190_6.tif, 2613321.197058, 1127905.019963,   681.9224
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0191_6.tif, 2613322.443211, 1127908.714123,   681.9722
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0192_6.tif, 2613323.842505, 1127912.855561,   682.0289
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0193_6.tif, 2613325.210177, 1127916.849327,   682.0914
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0194_6.tif, 2613327.314628, 1127923.010097,   682.1839
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0195_6.tif, 2613328.535851, 1127926.594557,   682.2355
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0196_6.tif, 2613329.883249, 1127930.589013,   682.2914
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0197_6.tif, 2613332.154396, 1127937.349508,   682.3839
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0198_6.tif, 2613333.418512, 1127941.121499,   682.4341
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0199_6.tif, 2613335.020695, 1127945.829052,   682.4992
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0200_6.tif, 2613336.415002, 1127949.895035,   682.5565
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0201_6.tif, 2613337.929047, 1127954.233679,   682.6141
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0202_6.tif, 2613340.172832, 1127960.761086,   682.7041
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0203_6.tif, 2613341.771875, 1127965.465572,   682.7707
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0204_6.tif, 2613342.900076, 1127968.721934,   682.8141
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0205_6.tif, 2613345.303093, 1127975.612963,   682.9060
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0206_6.tif, 2613346.802027, 1127979.879280,   682.9629
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0207_6.tif, 2613348.105918, 1127983.597715,   683.0107
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0208_6.tif, 2613350.065772, 1127989.220639,   683.0847
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0209_6.tif, 2613351.356438, 1127992.975046,   683.1366
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0210_6.tif, 2613353.231875, 1127998.453864,   683.2266
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0211_6.tif, 2613354.687192, 1128002.718716,   683.3043
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0212_6.tif, 2613355.840026, 1128006.111384,   683.3506
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0213_6.tif, 2613358.335802, 1128013.551332,   683.4479
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0214_6.tif, 2613359.409978, 1128016.803127,   683.4882
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0215_6.tif, 2613360.937511, 1128021.259008,   683.5649
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0216_6.tif, 2613363.576232, 1128028.801120,   683.6821
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0217_6.tif, 2613364.904888, 1128032.551598,   683.7275
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0218_6.tif, 2613366.249385, 1128036.446939,   683.7736
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0219_6.tif, 2613369.484929, 1128045.761094,   683.8933
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0220_6.tif, 2613369.585358, 1128046.048807,   683.8972
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0221_6.tif, 2613371.435465, 1128051.399089,   683.9610
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0222_6.tif, 2613372.797693, 1128055.355505,   684.0064
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0223_6.tif, 2613374.173584, 1128059.491378,   684.0778
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0224_6.tif, 2613376.522298, 1128066.596265,   684.1726
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0225_6.tif, 2613377.602104, 1128069.879084,   684.2063
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0226_6.tif, 2613379.055581, 1128074.112201,   684.2697
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0227_6.tif, 2613382.021656, 1128082.649031,   684.3877
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0228_6.tif, 2613382.647927, 1128084.439746,   684.4100
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0229_6.tif, 2613384.349003, 1128089.313180,   684.4654
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0230_6.tif, 2613385.748985, 1128093.329677,   684.5113
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0231_6.tif, 2613387.294701, 1128097.803324,   684.5751
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0232_6.tif, 2613389.458118, 1128104.124211,   684.6383
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0233_6.tif, 2613390.696773, 1128107.650386,   684.6352
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0234_6.tif, 2613392.385769, 1128109.905747,   684.6061
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0235_6.tif, 2613395.865097, 1128108.666584,   684.5629
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0236_6.tif, 2613400.678516, 1128105.190472,   684.4618
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0237_6.tif, 2613399.020817, 1128098.381749,   684.3022
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0238_6.tif, 2613397.527729, 1128094.715869,   684.2610
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0239_6.tif, 2613394.847566, 1128087.376746,   684.1895
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0240_6.tif, 2613393.536981, 1128083.611172,   684.1374
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0241_6.tif, 2613392.213887, 1128079.678579,   684.0610
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0242_6.tif, 2613389.948353, 1128072.941810,   683.9289
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0243_6.tif, 2613388.722964, 1128069.305662,   683.8587
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0244_6.tif, 2613386.995073, 1128064.226241,   683.7697
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0245_6.tif, 2613385.425694, 1128059.636227,   683.6914
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0246_6.tif, 2613384.199322, 1128056.059504,   683.6312
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0247_6.tif, 2613381.727300, 1128048.823901,   683.5310
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0248_6.tif, 2613380.496869, 1128045.226965,   683.4783
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0249_6.tif, 2613379.356881, 1128041.896033,   683.4283
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0250_6.tif, 2613376.770035, 1128034.348621,   683.2904
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0251_6.tif, 2613375.436564, 1128030.468609,   683.2184
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0252_6.tif, 2613374.184779, 1128026.833170,   683.1526
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0253_6.tif, 2613370.759890, 1128016.878430,   682.9970
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0254_6.tif, 2613370.708301, 1128016.727934,   682.9945
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0255_6.tif, 2613369.076458, 1128011.967413,   682.9146
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0256_6.tif, 2613367.372790, 1128006.995848,   682.8341
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0257_6.tif, 2613366.124860, 1128003.353545,   682.7763
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0258_6.tif, 2613363.836967, 1127996.694966,   682.6611
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0259_6.tif, 2613362.399829, 1127992.527124,   682.5961
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0260_6.tif, 2613361.043432, 1127988.601187,   682.5395
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0261_6.tif, 2613358.733498, 1127981.693055,   682.4270
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0262_6.tif, 2613356.308581, 1127974.519856,   682.3080
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0263_6.tif, 2613355.800232, 1127973.020494,   682.2831
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0264_6.tif, 2613353.769596, 1127967.080962,   682.1832
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0265_6.tif, 2613351.096140, 1127959.436875,   682.0651
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0266_6.tif, 2613350.580643, 1127957.973030,   682.0432
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0267_6.tif, 2613347.893636, 1127950.160281,   681.8977
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0268_6.tif, 2613347.963460, 1127950.363385,   681.9014
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0269_6.tif, 2613345.569767, 1127943.408265,   681.7929
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0270_6.tif, 2613344.018971, 1127938.920530,   681.7166
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0271_6.tif, 2613341.268270, 1127930.888638,   681.5775
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0272_6.tif, 2613340.513990, 1127928.664918,   681.5392
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0273_6.tif, 2613339.270433, 1127924.998873,   681.4785
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0274_6.tif, 2613336.850588, 1127917.859310,   681.3648
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0275_6.tif, 2613335.418856, 1127913.625484,   681.3013
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0276_6.tif, 2613333.740375, 1127908.734897,   681.2196
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0277_6.tif, 2613332.269723, 1127904.473346,   681.1456
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0278_6.tif, 2613330.907289, 1127900.484086,   681.0775
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0279_6.tif, 2613329.663235, 1127896.851712,   681.0155
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0280_6.tif, 2613327.387149, 1127890.281674,   680.9025
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0281_6.tif, 2613325.736858, 1127885.421890,   680.8141
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0282_6.tif, 2613324.403018, 1127881.484832,   680.7462
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0283_6.tif, 2613322.454835, 1127875.721785,   680.6738
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0284_6.tif, 2613321.215262, 1127872.103203,   680.6212
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0285_6.tif, 2613319.830307, 1127868.076344,   680.5601
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0286_6.tif, 2613317.508332, 1127861.451346,   680.4773
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0287_6.tif, 2613316.199106, 1127857.678166,   680.4218
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0288_6.tif, 2613314.573863, 1127852.952012,   680.3438
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0289_6.tif, 2613312.907214, 1127848.050031,   680.2454
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0290_6.tif, 2613311.540965, 1127844.020544,   680.1617
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0291_6.tif, 2613309.487844, 1127837.925775,   680.0306
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0292_6.tif, 2613308.075611, 1127833.822415,   679.9694
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0293_6.tif, 2613306.530688, 1127829.348963,   679.9040
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0294_6.tif, 2613304.132290, 1127822.480911,   679.7777
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0295_6.tif, 2613302.844804, 1127818.750357,   679.7310
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0296_6.tif, 2613301.400513, 1127814.558693,   679.6822
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0297_6.tif, 2613299.305015, 1127808.427660,   679.6581
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0298_6.tif, 2613297.749485, 1127803.881738,   679.6515
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0299_6.tif, 2613296.249215, 1127799.522858,   679.6503
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0300_6.tif, 2613294.546709, 1127794.571248,   679.6528
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0301_6.tif, 2613293.416105, 1127791.247481,   679.6624
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0302_6.tif, 2613291.212157, 1127784.751096,   679.6634
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0303_6.tif, 2613289.614133, 1127780.029649,   679.6511
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0304_6.tif, 2613288.318894, 1127776.220181,   679.6439
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0305_6.tif, 2613285.172387, 1127767.095972,   679.6575
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0306_6.tif, 2613284.765981, 1127765.901917,   679.6605
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0307_6.tif, 2613284.262624, 1127761.276496,   679.5951
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0308_6.tif, 2613288.168614, 1127759.665116,   679.6049
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0309_6.tif, 2613290.020277, 1127759.340181,   679.6071
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0310_6.tif, 2613295.228525, 1127761.949212,   679.6150
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0311_6.tif, 2613296.258305, 1127765.375898,   679.6010
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0312_6.tif, 2613297.868034, 1127771.105038,   679.6318
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0313_6.tif, 2613300.525879, 1127779.235107,   679.6789
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0314_6.tif, 2613302.379853, 1127784.593103,   679.6797
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0315_6.tif, 2613304.221468, 1127789.919096,   679.6813
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0316_6.tif, 2613305.507507, 1127793.640401,   679.6829
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0317_6.tif, 2613307.008594, 1127798.036758,   679.7044
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0318_6.tif, 2613308.382312, 1127802.049425,   679.7483
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0319_6.tif, 2613310.729422, 1127808.940352,   679.8325
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0320_6.tif, 2613311.234903, 1127810.437196,   679.8539
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0321_6.tif, 2613313.813594, 1127818.004813,   679.9708
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0322_6.tif, 2613315.490183, 1127822.863682,   680.0503
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0323_6.tif, 2613317.146147, 1127827.609962,   680.1283
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0324_6.tif, 2613318.706719, 1127832.114202,   680.1882
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0325_6.tif, 2613319.827592, 1127835.358898,   680.2271
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0326_6.tif, 2613321.335751, 1127839.747221,   680.2947
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0327_6.tif, 2613323.169014, 1127845.107734,   680.3814
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0328_6.tif, 2613325.698278, 1127852.595025,   680.4984
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0329_6.tif, 2613326.697326, 1127855.522021,   680.5448
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0330_6.tif, 2613328.096581, 1127859.586737,   680.6111
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0331_6.tif, 2613329.727437, 1127864.207831,   680.6934
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0332_6.tif, 2613331.817134, 1127870.159468,   680.7865
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0333_6.tif, 2613333.259681, 1127874.303570,   680.8477
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\001\IMG_0334_6.tif, 2613334.470656, 1127877.885557,   680.9027
