date,site,weather,multispec,rgb
20250704,Illgraben,wechselnd bewölkt ,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Illgraben\20250704,M:\working_package_2\2024_dronecampaign\01_data\P1\Illgraben\20250704
20250704,Pfynwald ,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20250704,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20250704
20250710,LWF-Davos,cloudy,Folder not found,Folder not found
20250710,Martelloskop,sunny no clouds,Folder not found,Folder not found
20250710,Stillberg,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Stillberg\20250710,M:\working_package_2\2024_dronecampaign\01_data\P1\Stillberg\20250710
20250711,lwf_isone,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_isone\20250711,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_isone\20250711
20250711,sagno,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\sagno\20250711,M:\working_package_2\2024_dronecampaign\01_data\P1\sagno\20250711
20250718,lwf_schänis,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_schänis\20250718,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_schänis\20250718
20250718,treenet_sempach,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_sempach\20250718,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_sempach\20250718
20250722,lwf_lens,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_lens\20250722,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_lens\20250722
20250723,Pfynwald ,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20250723,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20250723
20250729,Sanasilva-50845,cloudy,Folder not found,Folder not found
20250729,Sanasilva-50877,cloudy,Folder not found,Folder not found
20250731,lwf_isone,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_isone\20250731,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_isone\20250731
20250731,sagno,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\sagno\20250731,M:\working_package_2\2024_dronecampaign\01_data\P1\sagno\20250731
20250804,lwf_neunkirch,cloudy uniform,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_neunkirch\20250804,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_neunkirch\20250804
20250805,lwf_lens,cloudy,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_lens\20250805,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_lens\20250805
20250806,Illgraben,cloudy,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Illgraben\20250806,M:\working_package_2\2024_dronecampaign\01_data\P1\Illgraben\20250806
20250806,lwf_visp,cloudy hochnebel,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_visp\20250806,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_visp\20250806
20250806,Pfynwald ,cloudy hochnebel,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20250806,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20250806
20250806,treenet_salgesch,cloudy,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_salgesch\20250806,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_salgesch\20250806
20250807,LWF-Davos,cloudy,Folder not found,Folder not found
20250807,Martelloskop,sunny no clouds,Folder not found,Folder not found
20250807,Stillberg,cloudy in the beginning,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Stillberg\20250807,M:\working_package_2\2024_dronecampaign\01_data\P1\Stillberg\20250807
20250818,lwf_lens,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_lens\20250818,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_lens\20250818
20250819,Illgraben,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Illgraben\20250819,M:\working_package_2\2024_dronecampaign\01_data\P1\Illgraben\20250819
20250819,lwf_visp,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_visp\20250819,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_visp\20250819
20250819,Pfynwald ,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20250819,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20250819
20250819,treenet_salgesch,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_salgesch\20250819,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_salgesch\20250819
20250825,Sanasilva-50845,sunny no clouds,Folder not found,Folder not found
20250825,Sanasilva-50877,sunny no clouds,Folder not found,Folder not found
20250827,lwf_schänis,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_schänis\20250827,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_schänis\20250827
20250827,treenet_sempach,wechselhaft bewölkt,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_sempach\20250827,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_sempach\20250827
20250902,lwf_neunkirch,wechselhaft bewölkt,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_neunkirch\20250902,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_neunkirch\20250902
20250902,Wangen Brüttisellen,wechselhaft bewölkt,Folder not found,Folder not found
20250908,Martelloskop,cloudy,Folder not found,Folder not found
20250908,Stillberg,cloudy,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Stillberg\20250908,M:\working_package_2\2024_dronecampaign\01_data\P1\Stillberg\20250908
20250912,Funes,cloudy,Folder not found,Folder not found
20250912,Nigras,sunny no clouds,Folder not found,Folder not found
20250915,lwf_lens,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_lens\20250915,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_lens\20250915
20250916,Illgraben,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Illgraben\20250916,M:\working_package_2\2024_dronecampaign\01_data\P1\Illgraben\20250916
