mrk_time_iso,mrk_time_epoch,mrk_file,line,quality
2025-10-02 10:44:22.044,1759394662.044827,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,189,0.014643,
2025-10-02 10:44:22.624,1759394662.624054,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,190,0.014643,
2025-10-02 10:44:23.743,1759394663.743816,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,191,0.014643,
2025-10-02 10:44:24.942,1759394664.942945,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,192,0.014643,
2025-10-02 10:44:25.556,1759394665.556497,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,193,0.014643,
2025-10-02 10:44:26.942,1759394666.942175,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,194,0.014643,
2025-10-02 10:44:28.139,1759394668.139993,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,195,0.014643,
2025-10-02 10:44:29.342,1759394669.342361,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,196,0.014643,
2025-10-02 10:44:29.923,1759394669.923668,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,197,0.014643,
2025-10-02 10:44:31.474,1759394671.474298,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,198,0.014643,
2025-10-02 10:44:32.689,1759394672.689386,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,199,0.014643,
2025-10-02 10:44:33.368,1759394673.368864,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,200,0.014643,
2025-10-02 10:44:33.953,1759394673.953660,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,201,0.014643,
2025-10-02 10:44:34.892,1759394674.892485,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,202,0.014643,
2025-10-02 10:44:36.075,1759394676.075136,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,203,0.014643,
2025-10-02 10:44:37.290,1759394677.290309,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,204,0.014643,
2025-10-02 10:44:38.489,1759394678.489064,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,205,0.014643,
2025-10-02 10:44:39.672,1759394679.672952,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,206,0.014643,
2025-10-02 10:44:40.874,1759394680.874454,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,207,0.014643,
2025-10-02 10:44:42.090,1759394682.090440,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,208,0.014643,
2025-10-02 10:44:43.287,1759394683.287479,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,209,0.014643,
2025-10-02 10:44:44.485,1759394684.485970,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,210,0.014643,
2025-10-02 10:44:45.587,1759394685.587335,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,211,0.014643,
2025-10-02 10:44:46.803,1759394686.803087,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,212,0.014643,
2025-10-02 10:44:48.001,1759394688.001352,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,213,0.014643,
2025-10-02 10:44:49.201,1759394689.201215,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,214,0.014643,
2025-10-02 10:44:50.383,1759394690.383799,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,215,0.014643,
2025-10-02 10:44:51.581,1759394691.581088,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,216,0.014643,
2025-10-02 10:44:52.795,1759394692.795844,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,217,0.014643,
2025-10-02 10:44:54.012,1759394694.012829,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,218,0.014643,
2025-10-02 10:44:55.112,1759394695.112631,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,219,0.014643,
2025-10-02 10:44:56.213,1759394696.213306,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,220,0.014643,
2025-10-02 10:44:56.793,1759394696.793766,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,221,0.014643,
2025-10-02 10:44:57.804,1759394697.804580,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,222,0.014643,
2025-10-02 10:44:59.002,1759394699.002950,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,223,0.014643,
2025-10-02 10:45:00.104,1759394700.104151,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,224,0.014643,
2025-10-02 10:45:00.685,1759394700.685849,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,225,0.014643,
2025-10-02 10:45:01.710,1759394701.710653,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,226,0.014643,
2025-10-02 10:45:02.929,1759394702.929607,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,227,0.014643,
2025-10-02 10:45:04.527,1759394704.527464,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,228,0.014643,
2025-10-02 10:45:05.728,1759394705.728176,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,229,0.014643,
2025-10-02 10:45:06.043,1759394706.043060,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,1,0.014874,
2025-10-02 10:45:06.826,1759394706.826497,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,230,0.014643,
2025-10-02 10:45:07.190,1759394707.190531,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,2,0.014860,
2025-10-02 10:45:08.025,1759394708.025626,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,231,0.014643,
2025-10-02 10:45:08.405,1759394708.405959,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,3,0.014874,
2025-10-02 10:45:09.224,1759394709.224150,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,232,0.014643,
2025-10-02 10:45:09.588,1759394709.588117,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,4,0.014831,
2025-10-02 10:45:10.178,1759394710.178676,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,5,0.014836,
2025-10-02 10:45:10.423,1759394710.423889,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,233,0.014643,
2025-10-02 10:45:11.392,1759394711.392536,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,6,0.014828,
2025-10-02 10:45:11.624,1759394711.624127,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,234,0.014643,
2025-10-02 10:45:12.590,1759394712.590720,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,7,0.014839,
2025-10-02 10:45:12.821,1759394712.821820,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,235,0.014643,
2025-10-02 10:45:13.806,1759394713.806168,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,8,0.014866,
2025-10-02 10:45:14.052,1759394714.052466,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,236,0.014643,
2025-10-02 10:45:14.859,1759394714.859715,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,237,0.014643,
2025-10-02 10:45:14.988,1759394714.988045,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,9,0.014833,
